height,weight,rank
154,74,4th
172,48,3rd
191,94,2nd
151,65,4th
145,66,5th
181,74,1st
142,110,5th
202,61,4th
188,62,3rd
137,66,6th
157,109,4th
195,51,4th
180,92,2nd
136,94,6th
148,60,4th
155,90,4th
154,72,4th
152,85,4th
144,101,5th
175,92,3rd
159,96,4th
174,78,2nd
138,69,6th
148,62,4th
190,68,2nd
167,73,2nd
153,73,4th
173,78,2nd
179,102,3rd
157,108,4th
181,49,4th
187,102,2nd
181,110,3rd
155,65,4th
159,64,2nd
174,100,3rd
191,103,2nd
206,81,4th
166,58,1st
172,68,1st
188,68,2nd
176,62,1st
147,90,4th
183,90,2nd
183,78,1st
150,45,4th
164,62,1st
156,97,4th
155,98,4th
151,92,4th
143,55,5th
143,80,5th
163,59,1st
142,100,5th
146,105,4th
193,60,3rd
161,81,3rd
171,48,3rd
173,107,4th
139,91,6th
204,55,4th
171,102,3rd
151,79,4th
137,57,6th
183,104,3rd
137,77,6th
155,93,4th
198,45,4th
179,81,2nd
199,77,2nd
186,80,1st
161,61,1st
170,49,3rd
177,51,3rd
188,45,4th
162,99,4th
166,50,3rd
200,63,4th
144,85,5th
197,64,3rd
188,96,2nd
160,87,3rd
163,93,4th
206,58,4th
201,75,2nd
178,88,2nd
172,81,2nd
202,86,1st
177,99,3rd
158,71,4th
141,65,5th
195,47,4th
151,106,4th
163,104,4th
159,109,4th
168,99,4th
190,52,4th
167,101,4th
153,100,4th
138,94,6th
206,94,4th
159,79,3rd
183,58,3rd
158,110,4th
143,63,5th
165,94,3rd
164,81,3rd
162,107,4th
158,99,4th
144,102,5th
154,110,4th
204,73,4th
188,104,2nd
196,54,4th
205,48,4th
176,108,3rd
149,96,4th
164,55,1st
157,80,4th
172,104,4th
151,71,4th
204,70,4th
145,94,5th
198,102,2nd
163,53,2nd
165,82,3rd
174,93,3rd
169,88,3rd
139,66,6th
177,78,1st
163,102,4th
177,105,3rd
194,91,1st
190,57,4th
136,88,6th
172,82,2nd
187,86,1st
143,49,5th
178,105,3rd
187,86,1st
165,83,3rd
151,69,4th
176,83,2nd
171,92,3rd
206,50,4th
156,63,4th
148,83,4th
170,104,4th
159,51,1st
160,66,2nd
150,110,4th
204,104,4th
143,51,5th
156,91,4th
145,79,5th
159,101,4th
173,61,1st
138,84,6th
175,95,3rd
190,102,2nd
162,102,4th
197,57,4th
145,79,5th
183,89,2nd
145,102,5th
184,65,2nd
174,101,3rd
191,78,1st
167,92,3rd
187,88,2nd
175,107,3rd
177,57,3rd
201,82,1st
202,51,4th
164,92,3rd
135,63,6th
200,106,2nd
165,62,1st
185,106,3rd
185,53,4th
165,51,2nd
139,90,6th
203,47,4th
203,49,4th
169,72,2nd
157,69,4th
197,105,2nd
160,94,4th
191,97,2nd
187,87,1st
195,84,1st
172,102,3rd
162,72,2nd
198,55,4th
149,52,4th
185,101,2nd
182,51,4th
190,86,1st
172,83,2nd
179,54,3rd
163,105,4th
151,51,4th
181,81,1st
171,95,3rd
183,109,3rd
203,88,1st
165,71,2nd
203,83,1st
154,89,4th
159,63,1st
135,101,6th
201,108,2nd
169,88,3rd
137,102,6th
192,101,2nd
205,97,4th
161,77,2nd
179,108,3rd
146,98,4th
157,48,4th
193,49,4th
142,50,5th
139,56,6th
170,107,4th
151,49,4th
146,69,4th
155,48,4th
201,66,3rd
181,47,4th
196,110,2nd
196,51,4th
168,102,4th
176,66,1st
202,54,4th
173,93,3rd
174,97,3rd
194,58,4th
169,55,2nd
176,45,4th
154,93,4th
195,97,2nd
198,57,4th
189,104,2nd
174,76,2nd
187,76,1st
199,55,4th
200,47,4th
178,94,2nd
150,107,4th
201,94,1st
147,76,4th
187,50,4th
141,96,5th
138,98,6th
155,92,4th
139,98,6th
149,95,4th
187,108,3rd
136,67,6th
158,45,4th
201,53,4th
164,45,3rd
174,97,3rd
153,106,4th
193,50,4th
144,51,5th
154,81,4th
138,109,6th
204,55,4th
159,71,2nd
193,59,4th
154,56,4th
174,93,3rd
204,57,4th
136,69,6th
174,48,4th
170,88,3rd
198,89,1st
202,77,2nd
151,61,4th
147,74,4th
145,78,5th
164,65,1st
171,95,3rd
162,91,3rd
